Position,Name,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic,11200,DAL@LAL 09:30PM ET,DAL,58.5
PG/SG,Shai Gilgeous-Alexander,10500,OKC@DEN 08:00PM ET,OKC,54.2
PG,Tyrese Haliburton,8600,IND@MIA 07:00PM ET,IND,45.1
PG,Damian Lillard,8100,MIL@BOS 07:30PM ET,MIL,43.8
PG,Jalen Brunson,8300,NYK@PHI 07:00PM ET,NYK,44.6
PG,Trae Young,7900,ATL@CHA 07:00PM ET,ATL,42.9
PG,De'Aaron Fox,7700,SAC@PHX 09:00PM ET,SAC,41.5
PG,Fred VanVleet,6200,HOU@SAS 08:00PM ET,HOU,32.4
SG,Devin Booker,9200,SAC@PHX 09:00PM ET,PHX,47.3
SG,Donovan Mitchell,8900,CLE@CHI 08:00PM ET,CLE,46.0
SG,Anthony Edwards,8700,MIN@GSW 10:00PM ET,MIN,45.8
SG,Tyler Herro,7200,IND@MIA 07:00PM ET,MIA,38.6
SG,Jaylen Brown,7800,MIL@BOS 07:30PM ET,BOS,40.2
SG,Desmond Bane,6800,MEM@ORL 07:00PM ET,MEM,36.1
SG,Bogdan Bogdanovic,5000,ATL@CHA 07:00PM ET,ATL,25.3
SF,Jayson Tatum,10300,MIL@BOS 07:30PM ET,BOS,52.9
SF,Kevin Durant,9900,SAC@PHX 09:00PM ET,PHX,50.4
SF,Jimmy Butler,8400,MIA@IND 07:00PM ET,MIA,43.0
SF,Paul George,8200,PHI@NYK 07:00PM ET,PHI,42.5
SF,Mikal Bridges,6600,NYK@PHI 07:00PM ET,NYK,34.8
SF,Franz Wagner,6400,ORL@MEM 07:00PM ET,ORL,33.9
SF,OG Anunoby,5800,NYK@PHI 07:00PM ET,NYK,30.1
SF,DeMar DeRozan,6900,SAC@PHX 09:00PM ET,SAC,36.5
PF,Giannis Antetokounmpo,11500,MIL@BOS 07:30PM ET,MIL,59.8
PF,Anthony Davis,10100,DAL@LAL 09:30PM ET,LAL,51.7
PF,Julius Randle,7500,NYK@PHI 07:00PM ET,NYK,39.4
PF,Paolo Banchero,7900,ORL@MEM 07:00PM ET,ORL,41.9
PF,Pascal Siakam,7300,IND@MIA 07:00PM ET,IND,38.8
PF,Jaren Jackson Jr.,6700,MEM@ORL 07:00PM ET,MEM,35.2
PF,John Collins,4800,UTA@DEN 08:00PM ET,UTA,24.6
C,Nikola Jokic,11800,OKC@DEN 08:00PM ET,DEN,62.3
C,Joel Embiid,10900,PHI@NYK 07:00PM ET,PHI,55.6
C,Domantas Sabonis,9300,SAC@PHX 09:00PM ET,SAC,48.1
C,Rudy Gobert,6500,MIN@GSW 10:00PM ET,MIN,34.7
C,Bam Adebayo,7600,IND@MIA 07:00PM ET,MIA,39.9
C,Myles Turner,5600,IND@MIA 07:00PM ET,IND,29.8
C,Clint Capela,4500,ATL@CHA 07:00PM ET,ATL,23.1
C,Jarrett Allen,5900,CLE@CHI 08:00PM ET,CLE,30.9
PG,Tyus Jones,4000,PHX@SAC 09:00PM ET,PHX,20.5
PG,Jose Alvarado,3500,NOP@GSW 10:00PM ET,NOP,17.8
SG,Gary Trent Jr.,3800,MIL@BOS 07:30PM ET,MIL,18.9
SG,Duncan Robinson,3300,MIA@IND 07:00PM ET,MIA,15.6
SF,Kelly Oubre Jr.,3900,PHI@NYK 07:00PM ET,PHI,19.2
SF,Torrey Craig,3000,CHI@CLE 08:00PM ET,CHI,13.4
PF,Nic Claxton,4200,BKN@ORL 07:00PM ET,BKN,21.7
PF,Naz Reid,3600,MIN@GSW 10:00PM ET,MIN,18.1
C,Mitchell Robinson,3400,NYK@PHI 07:00PM ET,NYK,16.3
C,Mason Plumlee,3000,CHI@CLE 08:00PM ET,CHI,14.2
